iter	Passed	Remaining
673	88732	42917
674	88853	42781
675	88990	42652
676	89123	42521
677	89255	42389
678	89393	42260
679	89543	42138
680	89674	42006
681	89796	41869
682	89942	41744
683	90055	41604
684	90179	41469
685	90304	41334
686	90422	41196
687	90536	41057
688	90686	40934
689	90820	40803
690	90926	40660
691	91044	40522
692	91181	40393
693	91307	40259
694	91432	40125
695	91556	39990
696	91714	39870
697	91866	39747
698	91955	39597
699	92091	39467
700	92228	39338
701	92372	39212
702	92477	39069
703	92612	38939
704	92774	38820
705	92936	38701
706	93078	38574
707	93226	38449
708	93379	38326
709	93506	38192
710	93606	38048
711	93764	37927
712	93908	37800
713	94057	37675
714	94220	37556
715	94360	37427
716	94498	37298
717	94621	37163
718	94758	37033
719	94902	36906
720	95037	36776
721	95157	36639
722	95288	36507
723	95403	36369
724	95515	36229
725	95645	36097
726	95786	35969
727	95911	35835
728	96036	35700
729	96170	35569
730	96286	35432
731	96452	35313
732	96580	35180
733	96704	35045
734	96812	34905
735	96945	34773
736	97071	34640
737	97167	34495
738	97273	34355
739	97395	34220
740	97544	34094
741	97695	33969
742	97861	33849
743	98005	33722
744	98138	33591
745	98253	33453
746	98391	33324
747	98511	33188
748	98648	33058
749	98806	32935
750	98953	32808
751	99082	32676
752	99209	32542
753	99328	32406
754	99455	32273
755	99586	32141
756	99729	32013
757	99923	31901
758	100099	31783
759	100253	31659
760	100401	31532
761	100524	31397
762	100665	31268
763	100797	31136
764	100991	31023
765	101127	30892
766	101260	30761
767	101399	30631
768	101520	30495
769	101641	30360
770	101775	30229
771	101902	30095
772	102039	29965
773	102181	29835
774	102348	29713
775	102469	29578
776	102618	29451
777	102818	29338
778	103202	29278
779	103372	29156
780	103530	29030
781	103654	28895
782	103803	28768
783	103980	28647
784	104203	28539
785	104395	28423
786	104562	28299
787	104724	28174
788	104918	28058
789	105085	27934
790	105248	27809
791	105426	27687
792	105589	27562
793	105759	27438
794	105910	27310
795	106036	27175
796	106193	27047
797	106313	26911
798	106417	26770
799	106626	26656
800	106770	26526
801	106932	26399
802	107081	26270
803	107226	26139
804	107346	26003
805	107485	25871
806	107629	25740
807	107789	25613
808	107924	25480
809	108062	25348
810	108201	25215
811	108334	25082
812	108454	24945
813	108556	24805
814	108683	24670
815	108806	24534
816	108992	24413
817	109188	24293
818	109365	24170
819	109536	24044
820	109662	23909
821	109820	23781
822	109955	23647
823	110108	23518
824	110257	23387
825	110431	23262
826	110599	23136
827	110738	23003
828	110919	22879
829	111068	22748
830	111195	22613
831	111333	22480
832	111498	22353
833	111673	22227
834	111802	22092
835	111949	21961
836	112090	21828
837	112217	21693
838	112334	21556
839	112473	21423
840	112608	21289
841	112745	21156
842	112932	21032
843	113060	20897
844	113206	20765
845	113337	20631
846	113472	20497
847	113630	20367
848	113763	20233
849	113914	20102
850	114117	19980
851	114273	19850
852	114433	19720
853	114576	19588
854	114715	19454
855	114852	19320
856	115002	19189
857	115153	19058
858	115303	18926
859	115463	18796
860	115613	18664
861	115761	18532
862	115884	18396
863	115993	18258
864	116138	18125
865	116305	17996
866	116451	17864
867	116609	17733
868	116826	17611
869	117009	17484
870	117166	17352
871	117297	17218
872	117435	17084
873	117601	16954
874	117767	16823
875	117913	16690
876	118055	16557
877	118199	16424
878	118317	16287
879	118439	16150
880	118569	16015
881	118713	15882
882	118855	15748
883	119015	15617
884	119129	15480
885	119250	15343
886	119414	15212
887	119580	15082
888	119748	14951
889	119928	14822
890	120064	14688
891	120202	14553
892	120342	14419
893	120492	14286
894	120624	14151
895	120752	14015
896	120880	13880
897	121014	13745
898	121147	13610
899	121278	13475
900	121401	13339
901	121528	13203
902	121643	13066
903	121773	12931
904	121955	12801
905	122109	12669
906	122239	12533
907	122371	12398
908	122519	12265
909	122648	12130
910	122793	11996
911	122910	11859
912	123041	11724
913	123172	11589
914	123311	11455
915	123443	11320
916	123568	11184
917	123687	11048
918	123803	10911
919	123956	10778
920	124085	10643
921	124210	10508
922	124340	10372
923	124466	10237
924	124605	10103
925	124748	9969
926	124910	9836
927	125052	9702
928	125175	9566
929	125307	9431
930	125435	9296
931	125580	9162
932	125727	9028
933	125853	8893
934	125986	8758
935	126120	8623
936	126254	8488
937	126365	8352
938	126500	8217
939	126627	8082
940	126788	7949
941	126952	7816
942	127094	7682
943	127186	7544
944	127305	7409
945	127438	7274
946	127558	7138
947	127679	7003
948	127816	6868
949	127967	6735
950	128090	6599
951	128211	6464
952	128344	6329
953	128460	6194
954	128595	6059
955	128726	5924
956	128884	5791
957	129011	5656
958	129156	5521
959	129261	5385
960	129390	5251
961	129527	5116
962	129667	4982
963	129801	4847
964	129937	4712
965	130056	4577
966	130178	4442
967	130335	4308
968	130462	4173
969	130575	4038
970	130693	3903
971	130840	3769
972	130988	3634
973	131129	3500
974	131254	3365
975	131392	3230
976	131520	3096
977	131650	2961
978	131783	2826
979	131931	2692
980	132055	2557
981	132175	2422
982	132310	2288
983	132434	2153
984	132567	2018
985	132700	1884
986	132837	1749
987	132976	1615
988	133112	1480
989	133234	1345
990	133357	1211
991	133473	1076
992	133582	941
993	133744	807
994	133871	672
995	134006	538
996	134149	403
997	134283	269
998	134393	134
999	134554	0
